AppId, UserId, TimeStamp, OnBattery, ScreenOn, BatterySaverActive, LowPowerEpochActive, Foreground, InteractivityState, Container, Committed, TimeInMSec, MeasuredBitmap, EnergyLoss, CPUEnergyConsumption, SocEnergyConsumption, DisplayEnergyConsumption, DiskEnergyConsumption, NetworkEnergyConsumption, MBBEnergyConsumption, OtherEnergyConsumption, EmiEnergyConsumption, CPUEnergyConsumptionWorkOnBehalf, CPUEnergyConsumptionAttributed, TotalEnergyConsumption
\Device\HarddiskVolume1\Windows\System32\svchost.exe [LocalServiceNoNetworkFirewall], S-1-5-19, 2024-03-16:12:50:44.0748, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 44726, b000000000, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
\Device\HarddiskVolume1\Program Files (x86)\Common Files\Foxit\Foxit PDF Reader\FoxitPDFReaderUpdateService.exe, S-1-5-18, 2024-03-16:12:50:44.0748, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 44726, b000000000, 0, 1117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1117
\Device\HarddiskVolume1\Windows\System32\svchost.exe [RPCSS], S-1-5-20, 2024-03-16:12:50:44.0748, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 44726, b000000000, 0, 20, 0, 0, 0, 0, 0, 0, 0, 7, 0, 20
Unknown, S-1-5-18, 2024-03-16:12:50:44.0748, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 0, b000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
\Device\HarddiskVolume1\Windows\System32\svchost.exe [LocalServiceNetworkRestricted] [EventLog], S-1-5-19, 2024-03-16:12:50:44.0748, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 44726, b000000000, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
\Device\HarddiskVolume1\Users\Administrator\AppData\Roaming\Spotify\Spotify.exe, S-1-5-21-830239001-2054536580-1826218552-500, 2024-03-16:12:50:44.0748, FALSE, TRUE, FALSE, FALSE, TRUE, Visible, FALSE, TRUE, 44726, b000000000, 0, 1871, 0, 0, 33, 148, 0, 0, 0, 0, 18, 2052
\Device\HarddiskVolume1\Windows\System32\csrss.exe, S-1-5-18, 2024-03-16:12:50:44.0748, FALSE, TRUE, FALSE, FALSE, TRUE, Visible, FALSE, TRUE, 44726, b000000000, 0, 791, 0, 0, 0, 0, 0, 0, 0, 0, 0, 791
\Device\HarddiskVolume5\PanGPS.exe, S-1-5-18, 2024-03-16:12:50:44.0748, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 44726, b000000000, 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 81
\Device\HarddiskVolume1\Users\Administrator\AppData\Roaming\Spotify\Spotify.exe, S-1-5-21-830239001-2054536580-1826218552-500, 2024-03-16:12:50:44.0748, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 44726, b000000000, 0, 244, 0, 0, 129, 1445, 0, 0, 0, 0, 0, 1818
\Device\HarddiskVolume1\Windows\System32\svchost.exe [LocalServiceAndNoImpersonation] [SSDPSRV], S-1-5-19, 2024-03-16:12:50:44.0748, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 44726, b000000000, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
\Device\HarddiskVolume1\Windows\System32\svchost.exe [LocalServiceNetworkRestricted] [Dhcp], S-1-5-19, 2024-03-16:12:50:44.0748, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 44726, b000000000, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
\Device\HarddiskVolume1\Windows\System32\svchost.exe [DcomLaunch], S-1-5-18, 2024-03-16:12:50:44.0748, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 44726, b000000000, 0, 78, 0, 0, 0, 0, 0, 0, 0, 12, 0, 78
\Device\HarddiskVolume1\Windows\System32\svchost.exe [NetworkService] [NlaSvc], S-1-5-20, 2024-03-16:12:50:44.0748, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 44726, b000000000, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28
\Device\HarddiskVolume1\Windows\System32\svchost.exe [LocalServiceNoNetwork], S-1-5-19, 2024-03-16:12:50:44.0748, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 44726, b000000000, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
System Interrupts, S-1-5-18, 2024-03-16:12:50:44.0748, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 44726, b000000000, 0, 5028, 248, 0, 0, 0, 0, 0, 0, 0, 0, 5276
\Device\HarddiskVolume1\Program Files\Google\Chrome\Application\chrome.exe, S-1-5-21-830239001-2054536580-1826218552-500, 2024-03-16:12:50:44.0748, FALSE, TRUE, FALSE, FALSE, TRUE, Visible, FALSE, TRUE, 44726, b000000000, 0, 2850, 0, 0, 341, 0, 0, 0, 0, 0, 54, 3191
\Device\HarddiskVolume1\Program Files\Google\Chrome\Application\chrome.exe, S-1-5-21-830239001-2054536580-1826218552-500, 2024-03-16:12:50:44.0748, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 44726, b000000000, 0, 6688, 0, 0, 74, 2876, 0, 0, 0, 0, 0, 9638
\Device\HarddiskVolume1\Windows\System32\svchost.exe [LocalService] [BthAvctpSvc], S-1-5-19, 2024-03-16:12:50:44.0748, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 44726, b000000000, 0, 26, 0, 0, 0, 0, 0, 0, 0, 8, 0, 26
Microsoft.LockApp_10.0.19041.3636_neutral__cw5n1h2txyewy, S-1-5-21-830239001-2054536580-1826218552-500, 2024-03-16:12:50:44.0748, FALSE, TRUE, FALSE, FALSE, FALSE, NotUnique, FALSE, TRUE, 44726, b000000000, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
\Device\HarddiskVolume1\Windows\System32\svchost.exe [netsvcs] [Schedule], S-1-5-18, 2024-03-16:12:50:44.0748, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 44726, b000000000, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
\Device\HarddiskVolume1\Windows\System32\svchost.exe [netsvcs] [gpsvc], S-1-5-18, 2024-03-16:12:50:44.0748, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 44726, b000000000, 0, 126, 0, 0, 8, 0, 0, 0, 0, 0, 4, 134
\Device\HarddiskVolume1\Program Files (x86)\Common Files\Microsoft Shared\Phone Tools\CoreCon\11.0\bin\IpOverUsbSvc.exe, S-1-5-18, 2024-03-16:12:50:44.0748, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 44726, b000000000, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
\Device\HarddiskVolume1\ProgramData\Microsoft\Windows Defender\Platform\4.18.24020.7-0\MpCmdRun.exe, S-1-5-18, 2024-03-16:12:50:44.0748, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 44726, b000000000, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
\Device\HarddiskVolume1\Windows\System32\svchost.exe [DcomLaunch] [LSM], S-1-5-18, 2024-03-16:12:50:44.0748, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 44726, b000000000, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
\Device\HarddiskVolume1\Windows\System32\SgrmBroker.exe, S-1-5-18, 2024-03-16:12:50:44.0748, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 44726, b000000000, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
\Device\HarddiskVolume1\Windows\System32\svchost.exe [LocalServiceNetworkRestricted] [wscsvc], S-1-5-19, 2024-03-16:12:50:44.0748, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 44726, b000000000, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
\Device\HarddiskVolume1\Windows\System32\svchost.exe [netsvcs] [UserManager], S-1-5-18, 2024-03-16:12:50:44.0748, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 44726, b000000000, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
